INFO 2026-01-29 01:02:50,547 views Ingested arbitrage event: arb_1769648570353_56, spread=0.012574%
INFO 2026-01-29 01:02:57,815 views Ingested arbitrage event: arb_1769648577018_57, spread=0.015637%
INFO 2026-01-29 01:03:03,872 views Ingested arbitrage event: arb_1769648583744_58, spread=0.015638%
INFO 2026-01-29 01:03:07,810 views Ingested arbitrage event: arb_1769648587695_59, spread=0.010980%
INFO 2026-01-29 01:03:15,077 views Ingested arbitrage event: arb_1769648594843_60, spread=0.013834%
INFO 2026-01-29 01:03:15,274 views Ingested arbitrage event: arb_1769648595108_61, spread=0.022292%
INFO 2026-01-29 01:03:15,630 views Ingested arbitrage event: arb_1769648595394_62, spread=0.024757%
INFO 2026-01-29 01:03:16,208 views Ingested arbitrage event: arb_1769648596048_63, spread=0.030278%
INFO 2026-01-29 01:03:20,506 views Ingested arbitrage event: arb_1769648600439_64, spread=0.024768%
INFO 2026-01-29 01:03:20,584 views Ingested arbitrage event: arb_1769648600515_65, spread=0.019298%
INFO 2026-01-29 01:03:20,766 views Ingested arbitrage event: arb_1769648600695_66, spread=0.028614%
INFO 2026-01-29 01:03:30,589 views Ingested arbitrage event: arb_1769648610515_67, spread=0.018506%
INFO 2026-01-29 01:03:38,365 views Ingested arbitrage event: arb_1769648618333_68, spread=0.013478%
INFO 2026-01-29 01:03:40,603 views Ingested arbitrage event: arb_1769648620574_69, spread=0.013478%
INFO 2026-01-29 01:04:03,299 views Ingested arbitrage event: arb_1769648643264_70, spread=0.016305%
INFO 2026-01-29 01:04:03,633 views Ingested arbitrage event: arb_1769648643603_71, spread=0.014420%
INFO 2026-01-29 01:04:04,973 views Ingested arbitrage event: arb_1769648644940_72, spread=0.018950%
INFO 2026-01-29 01:04:10,734 views Ingested arbitrage event: arb_1769648650696_73, spread=0.018301%
INFO 2026-01-29 01:04:12,277 views Ingested arbitrage event: arb_1769648652242_74, spread=0.010648%
INFO 2026-01-29 01:04:15,031 views Ingested arbitrage event: arb_1769648654982_75, spread=0.013341%
INFO 2026-01-29 01:04:40,346 views Ingested arbitrage event: arb_1769648680316_76, spread=0.013834%
INFO 2026-01-29 01:04:40,877 views Ingested arbitrage event: arb_1769648680851_77, spread=0.013834%
INFO 2026-01-29 01:04:43,117 views Ingested arbitrage event: arb_1769648683081_78, spread=0.015303%
INFO 2026-01-29 01:04:43,457 views Ingested arbitrage event: arb_1769648683423_79, spread=0.019296%
INFO 2026-01-29 01:04:50,034 views Ingested arbitrage event: arb_1769648689998_80, spread=0.013972%
INFO 2026-01-29 01:04:50,978 views Ingested arbitrage event: arb_1769648690942_81, spread=0.022881%
INFO 2026-01-29 01:04:51,012 views Ingested arbitrage event: arb_1769648690982_82, spread=0.013972%
INFO 2026-01-29 01:04:53,262 simulation Simulation: gross=20.36000000, fees=453.86930000, slippage=266.98254000, latency=0.88984000, net=-701.38168000
INFO 2026-01-29 01:04:53,283 views Simulated event arb_1769648690942_81: profit=-701.3816800000000000000000, profitable=False
INFO 2026-01-29 01:04:56,593 simulation Simulation: gross=0.42000000, fees=15.33175200, slippage=9.01869000, latency=0.03006020, net=-23.96050220
INFO 2026-01-29 01:04:56,604 views Simulated event arb_1769648690982_82: profit=-23.9605022000000000000000, profitable=False
INFO 2026-01-29 01:04:56,995 views Ingested arbitrage event: arb_1769648696936_83, spread=0.013384%
INFO 2026-01-29 01:04:58,074 simulation Simulation: gross=0.42000000, fees=15.33175200, slippage=9.01869000, latency=0.03006020, net=-23.96050220
INFO 2026-01-29 01:04:58,082 views Simulated event arb_1769648689998_80: profit=-23.9605022000000000000000, profitable=False
